x,Power
1,207.29325
2,207.84000
3,205.96200
4,205.96125
5,204.92325
6,205.13325
7,206.25900
8,206.14200
9,205.05000
10,205.47450
11,205.37925
12,206.35650
13,205.01850
14,206.07000
15,205.53525
16,204.36900
17,204.15600
18,203.22075
19,205.80225
20,203.61075
21,206.34150
22,204.17325
23,205.51200
24,203.62350
25,204.23400
26,204.39825
27,204.41700
28,204.41250
29,203.33325
30,204.33975
31,204.14400
32,204.06075
33,206.34450
34,205.35600
35,204.71250
36,207.03975
37,206.34825
38,205.94175
39,205.03875
40,207.53550
41,206.60325
42,207.08625
43,207.07650
44,208.18650
45,206.18475
46,206.65800
47,206.18625
48,207.13575
49,205.30500
50,205.65525
51,205.57800
52,206.34150
53,205.17750
54,206.65800
55,204.10575
56,205.80525
57,205.34325
58,206.15625
59,207.84450
60,207.30900
61,205.44750
62,207.82350
63,206.90025
64,207.37350
65,204.65550
66,206.50200
67,207.70425
68,208.08000
69,207.29625
70,206.88225
71,206.23725
72,208.30200
73,207.10350
74,204.97275
75,205.65450
76,205.32225
77,203.44350
78,205.51950
79,204.34950
80,205.09425
81,206.11650
82,206.69700
83,207.48825
84,207.25425
85,206.78175
86,206.31450
87,205.95225
88,206.14125
89,205.57125
90,208.29000
91,206.70300
92,209.72475
93,206.46375
94,207.64275
95,206.65950
96,207.41475
97,206.48100
98,206.20275
99,205.98000
100,204.78600
101,205.05375
102,204.18075
103,206.30925
104,206.89950
105,204.84750
106,205.57725
107,204.42450
108,205.41600
109,205.75275
110,204.70350
111,205.51875
112,204.74250
113,206.46750
114,205.95975
115,207.44100
116,206.47350
117,208.12425
118,207.85275
119,209.27475
120,207.67725
121,207.22500
122,206.26500
123,205.26975
124,206.58825
125,205.86150
126,206.29125
127,204.25350
128,204.68700
129,207.60825
130,205.00725
131,206.42700
132,204.30075
133,204.60300
134,206.09400
135,205.81050
136,204.51075
137,206.59125
138,205.42200
139,207.25575
140,207.18825
141,207.13500
142,206.27475
143,207.16800
144,206.91525
145,205.65825
146,205.00650
147,204.81900
148,206.23650
149,204.98025
150,205.23825
151,206.09925
152,205.13025
153,206.61975
154,206.63475
155,206.90100
156,205.58250
157,206.06475
158,205.84650
159,205.73250
160,206.25450
161,204.39600
162,206.83575
163,207.77175
164,206.24475
165,206.57550
166,206.17125
167,208.85250
168,207.47325
169,207.00900
170,205.18575
171,205.33875
172,204.90300
173,203.68200
174,205.29150
175,205.07325
